                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82437,                 3.1595,                 1.0783,                0.24094,                0.49413,                0.22353,                0.18192,                0.73569,                 2.7323,                0.97724,             0.00017454,             0.00017454,             0.00017454
                      2,                0.75671,                 2.2335,                 1.0144,                0.28731,                0.48875,                0.30796,                0.24304,                 0.7696,                 2.3438,                0.99023,             0.00034641,             0.00034641,             0.00034641
                      3,                 0.7383,                 1.9467,                 1.0079,                0.43701,                0.60886,                0.48933,                0.40158,                0.74538,                 1.8194,                0.95907,             0.00051481,             0.00051481,             0.00051481
                      4,                0.70992,                 1.7227,                0.98833,                0.62816,                0.51449,                0.57942,                0.48459,                0.69597,                  1.567,                0.94203,             0.00051038,             0.00051038,             0.00051038
                      5,                0.70539,                 1.5407,                0.98893,                0.63027,                0.64877,                  0.662,                0.55486,                0.70035,                 1.3378,                0.95455,             0.00051038,             0.00051038,             0.00051038
                      6,                0.68563,                 1.3906,                0.98186,                0.75354,                0.67957,                0.73432,                0.61684,                0.66378,                 1.1273,                0.92832,             0.00050517,             0.00050517,             0.00050517
                      7,                0.66322,                 1.2809,                0.96891,                0.73734,                0.66998,                0.75691,                0.64648,                0.64864,                 1.0073,                0.91877,             0.00049996,             0.00049996,             0.00049996
                      8,                0.66367,                 1.1925,                0.96595,                0.75363,                0.73182,                 0.7772,                 0.6674,                   0.64,                0.98069,                 0.9114,             0.00049476,             0.00049476,             0.00049476
                      9,                0.65776,                 1.1519,                0.96337,                0.84762,                0.71463,                0.80389,                0.68247,                0.63913,                0.84426,                0.91746,             0.00048955,             0.00048955,             0.00048955
                     10,                0.64271,                 1.0947,                0.96264,                0.84726,                0.72662,                 0.8145,                0.69449,                0.64549,                0.79994,                0.91082,             0.00048434,             0.00048434,             0.00048434
                     11,                0.62906,                 1.0314,                0.95619,                0.83495,                 0.7557,                0.82288,                0.70182,                0.64974,                0.74971,                0.91334,             0.00047913,             0.00047913,             0.00047913
                     12,                0.63807,                 1.0091,                0.95345,                0.87098,                0.72059,                0.82456,                0.70063,                0.64971,                0.77832,                0.91107,             0.00047393,             0.00047393,             0.00047393
                     13,                0.62889,                0.97642,                0.95568,                0.91994,                0.76772,                0.85853,                0.73182,                0.62382,                0.64425,                0.90272,             0.00046872,             0.00046872,             0.00046872
                     14,                0.61533,                0.93976,                0.95206,                  0.852,                0.76984,                0.84432,                0.72347,                0.62022,                0.66817,                0.90098,             0.00046351,             0.00046351,             0.00046351
                     15,                0.60862,                0.91342,                 0.9432,                0.92633,                0.76821,                0.85869,                0.73806,                0.62211,                0.63569,                0.89743,              0.0004583,              0.0004583,              0.0004583
                     16,                0.61039,                0.88816,                 0.9458,                0.88849,                0.79638,                0.87387,                0.74068,                0.64108,                 0.5888,                0.90424,              0.0004531,              0.0004531,              0.0004531
                     17,                0.61558,                0.86922,                0.94598,                0.93383,                0.79161,                0.87638,                0.74893,                0.60849,                0.55511,                0.89874,             0.00044789,             0.00044789,             0.00044789
                     18,                0.61061,                0.84546,                0.94513,                0.92463,                0.78347,                0.86995,                0.74696,                0.61505,                0.57896,                0.90202,             0.00044268,             0.00044268,             0.00044268
                     19,                0.60106,                 0.8008,                0.94343,                0.91413,                0.80328,                0.88668,                0.75902,                0.61455,                0.53478,                0.90125,             0.00043747,             0.00043747,             0.00043747
                     20,                0.59281,                0.80588,                0.94284,                0.92879,                0.81414,                0.88397,                 0.7517,                0.60592,                0.54461,                0.89982,             0.00043227,             0.00043227,             0.00043227
                     21,                0.59413,                 0.7942,                0.94195,                0.92891,                0.77891,                0.87673,                0.75375,                 0.6103,                0.53519,                0.89801,             0.00042706,             0.00042706,             0.00042706
                     22,                0.59193,                0.77593,                0.94332,                0.93464,                0.79985,                0.88805,                0.76416,                0.60321,                 0.5114,                0.89269,             0.00042185,             0.00042185,             0.00042185
                     23,                0.58771,                 0.7669,                0.93912,                0.90977,                0.82574,                0.88939,                0.76301,                0.61185,                 0.4868,                0.89592,             0.00041664,             0.00041664,             0.00041664
                     24,                0.58434,                0.74069,                0.93536,                0.94014,                0.82214,                0.89435,                 0.7661,                0.60922,                0.48591,                0.89067,             0.00041144,             0.00041144,             0.00041144
                     25,                0.58482,                0.75101,                 0.9383,                0.94234,                0.81856,                0.89908,                  0.771,                0.60417,                0.45808,                0.89361,             0.00040623,             0.00040623,             0.00040623
                     26,                0.57388,                0.73863,                0.93572,                0.94169,                0.81191,                0.88642,                0.75841,                0.60856,                0.46477,                  0.898,             0.00040102,             0.00040102,             0.00040102
                     27,                0.57938,                0.73438,                0.93704,                0.94127,                0.81859,                0.89889,                0.78463,                0.57573,                 0.4516,                0.88294,             0.00039581,             0.00039581,             0.00039581
                     28,                0.56963,                0.71602,                0.92936,                0.93312,                0.79992,                0.89194,                  0.772,                0.59665,                0.46617,                0.88884,             0.00039061,             0.00039061,             0.00039061
                     29,                0.57269,                0.71096,                0.93081,                0.95981,                0.82606,                 0.9068,                0.78405,                0.59333,                 0.4391,                0.89167,              0.0003854,              0.0003854,              0.0003854
                     30,                0.57941,                0.70746,                0.93699,                0.94008,                0.80336,                 0.8969,                0.77235,                0.60085,                0.45517,                0.89216,             0.00038019,             0.00038019,             0.00038019
                     31,                0.56956,                0.71002,                0.92678,                0.95537,                0.82781,                0.90871,                0.78621,                0.58823,                0.42258,                0.88693,             0.00037499,             0.00037499,             0.00037499
                     32,                0.56244,                0.67445,                0.93195,                0.95017,                0.82903,                0.90601,                0.78075,                 0.5854,                0.42229,                0.88666,             0.00036978,             0.00036978,             0.00036978
                     33,                0.55553,                0.67318,                0.93043,                0.95166,                0.83132,                0.91056,                0.77914,                0.60151,                0.42469,                0.88682,             0.00036457,             0.00036457,             0.00036457
                     34,                0.55811,                 0.6673,                0.92962,                0.94027,                0.84174,                0.91377,                0.78458,                0.59194,                 0.4126,                 0.8815,             0.00035936,             0.00035936,             0.00035936
                     35,                0.56255,                0.65577,                 0.9273,                0.95445,                0.84097,                0.91459,                0.78932,                0.57402,                0.39942,                0.87722,             0.00035416,             0.00035416,             0.00035416
                     36,                0.55946,                0.65926,                0.92783,                 0.9499,                0.82994,                 0.9112,                0.78959,                0.58204,                0.40095,                 0.8799,             0.00034895,             0.00034895,             0.00034895
                     37,                 0.5541,                0.64398,                0.92971,                0.94323,                0.83287,                0.90669,                0.78054,                0.59645,                0.42424,                0.88685,             0.00034374,             0.00034374,             0.00034374
                     38,                 0.5554,                0.64378,                0.92755,                0.95916,                 0.8348,                0.91104,                0.78699,                0.58655,                0.40505,                0.88554,             0.00033853,             0.00033853,             0.00033853
                     39,                0.55459,                 0.6501,                0.92594,                0.95837,                0.81378,                0.90378,                0.77862,                0.57223,                0.41166,                0.88055,             0.00033333,             0.00033333,             0.00033333
                     40,                0.54334,                0.62839,                0.92522,                0.95191,                0.84188,                0.91197,                0.78542,                0.57293,                0.39717,                0.88381,             0.00032812,             0.00032812,             0.00032812
                     41,                0.54709,                0.62294,                0.92247,                0.95069,                0.84146,                0.92052,                0.79037,                0.58556,                0.39231,                0.88804,             0.00032291,             0.00032291,             0.00032291
                     42,                0.53927,                0.61768,                0.92516,                0.94671,                0.84686,                0.91271,                0.78776,                0.57454,                0.40053,                0.88465,              0.0003177,              0.0003177,              0.0003177
                     43,                 0.5449,                0.61152,                0.92428,                0.91681,                0.85864,                0.92128,                0.79548,                0.56502,                0.38856,                0.88013,              0.0003125,              0.0003125,              0.0003125
                     44,                0.54195,                0.61222,                0.92273,                0.94684,                0.85606,                0.92124,                0.79561,                0.57978,                0.38182,                0.88378,             0.00030729,             0.00030729,             0.00030729
                     45,                0.53156,                0.60725,                0.92371,                0.92853,                 0.8471,                0.91375,                0.79703,                0.56124,                0.38445,                0.87463,             0.00030208,             0.00030208,             0.00030208
                     46,                0.53703,                0.57822,                0.91788,                0.94847,                0.83628,                0.91944,                0.79801,                0.56216,                0.38764,                0.87799,             0.00029687,             0.00029687,             0.00029687
                     47,                0.54238,                0.60708,                0.92294,                0.97186,                0.84175,                0.91861,                0.79877,                0.56891,                0.36979,                0.87976,             0.00029167,             0.00029167,             0.00029167
                     48,                0.54255,                 0.6001,                0.92199,                0.95578,                0.85471,                0.92161,                0.79496,                 0.5711,                0.36701,                0.87852,             0.00028646,             0.00028646,             0.00028646
                     49,                0.54031,                0.59525,                0.92008,                 0.9406,                0.85636,                0.92033,                0.79592,                0.56857,                0.37038,                0.87608,             0.00028125,             0.00028125,             0.00028125
                     50,                0.53272,                0.58827,                0.92058,                0.96892,                0.84231,                0.91939,                0.79853,                0.56518,                0.37337,                0.87934,             0.00027604,             0.00027604,             0.00027604
                     51,                0.53348,                0.58672,                 0.9224,                0.93627,                0.85462,                 0.9219,                0.79515,                0.57392,                0.37436,                0.87748,             0.00027084,             0.00027084,             0.00027084
                     52,                0.53824,                0.59317,                0.92332,                0.94657,                0.84886,                 0.9194,                0.79943,                0.56739,                0.36627,                0.88452,             0.00026563,             0.00026563,             0.00026563
                     53,                0.51871,                0.56731,                0.91602,                0.95563,                0.84533,                0.92164,                0.80107,                0.56313,                0.36306,                0.87755,             0.00026042,             0.00026042,             0.00026042
                     54,                0.52163,                0.56747,                0.91586,                0.95481,                0.86244,                0.92776,                0.80313,                0.55718,                0.36332,                0.87259,             0.00025522,             0.00025522,             0.00025522
                     55,                0.52102,                0.55959,                0.91858,                0.94978,                0.85362,                0.92279,                0.80314,                0.56832,                0.36395,                0.87461,             0.00025001,             0.00025001,             0.00025001
                     56,                0.52545,                0.56005,                 0.9164,                0.91527,                0.87093,                0.92126,                0.79952,                0.55907,                0.36888,                0.87356,              0.0002448,              0.0002448,              0.0002448
                     57,                0.51979,                0.55411,                0.91438,                0.94203,                0.85659,                0.92626,                0.80424,                0.55743,                0.35428,                0.87663,             0.00023959,             0.00023959,             0.00023959
                     58,                0.52024,                0.54757,                0.91447,                0.95547,                0.84726,                0.91937,                0.79876,                0.56817,                0.36168,                0.88242,             0.00023439,             0.00023439,             0.00023439
                     59,                0.51375,                0.54905,                0.91506,                0.95835,                0.84939,                0.92344,                0.80397,                0.55747,                0.35908,                0.87686,             0.00022918,             0.00022918,             0.00022918
                     60,                0.51422,                0.54545,                0.91345,                0.94184,                0.85946,                0.92298,                0.79946,                0.56078,                0.35479,                0.87298,             0.00022397,             0.00022397,             0.00022397
                     61,                0.52078,                0.55515,                0.91391,                0.95689,                0.84573,                 0.9222,                0.80243,                 0.5606,                0.35493,                0.87464,             0.00021876,             0.00021876,             0.00021876
                     62,                0.51975,                0.53743,                0.91167,                0.93962,                0.86736,                0.92495,                0.79719,                0.56717,                0.35212,                0.87631,             0.00021356,             0.00021356,             0.00021356
                     63,                0.50922,                0.51911,                0.91266,                0.94687,                0.86466,                0.93035,                 0.8087,                0.56181,                0.34472,                0.87601,             0.00020835,             0.00020835,             0.00020835
                     64,                0.50592,                0.52002,                0.91354,                0.94156,                 0.8787,                 0.9315,                0.80816,                0.55935,                0.34164,                0.87453,             0.00020314,             0.00020314,             0.00020314
                     65,                0.50875,                0.53264,                0.91435,                0.95253,                0.84638,                0.92645,                0.80684,                0.55154,                0.34154,                0.87278,             0.00019793,             0.00019793,             0.00019793
                     66,                0.50983,                 0.5161,                0.91014,                0.93513,                0.86947,                0.92374,                0.80065,                0.55476,                  0.352,                0.87388,             0.00019273,             0.00019273,             0.00019273
                     67,                0.50439,                0.52693,                0.91119,                0.94606,                0.87366,                0.92842,                 0.8088,                0.56022,                0.34159,                0.88043,             0.00018752,             0.00018752,             0.00018752
                     68,                0.49482,                0.49853,                0.90757,                0.94872,                0.87682,                0.93306,                0.81415,                 0.5516,                 0.3314,                0.87656,             0.00018231,             0.00018231,             0.00018231
                     69,                0.51021,                0.52024,                0.91076,                0.93072,                0.87645,                0.93115,                0.81217,                0.55242,                 0.3365,                0.87541,              0.0001771,              0.0001771,              0.0001771
                     70,                0.49287,                0.50776,                0.90834,                0.95971,                0.85936,                0.93287,                0.81232,                 0.5563,                0.33532,                0.87841,              0.0001719,              0.0001719,              0.0001719
                     71,                0.49511,                0.49287,                0.90992,                0.92624,                0.87131,                0.92965,                0.81116,                0.55528,                0.33936,                0.88076,             0.00016669,             0.00016669,             0.00016669
                     72,                0.50022,                0.49543,                0.90873,                0.93546,                0.87203,                 0.9284,                0.80798,                0.56175,                0.34361,                0.88391,             0.00016148,             0.00016148,             0.00016148
                     73,                0.49046,                0.49552,                0.90768,                0.92248,                 0.8849,                0.93102,                0.81191,                0.55191,                0.33596,                0.87606,             0.00015627,             0.00015627,             0.00015627
                     74,                 0.4939,                0.49668,                0.90973,                0.93434,                0.85604,                0.92551,                0.80654,                0.55241,                0.34004,                0.87524,             0.00015107,             0.00015107,             0.00015107
                     75,                0.48971,                0.49648,                0.90809,                0.92653,                0.88445,                0.93301,                0.81073,                0.55598,                0.32897,                0.87515,             0.00014586,             0.00014586,             0.00014586
                     76,                0.48946,                0.49845,                0.90218,                 0.9482,                0.85808,                0.93026,                0.80983,                0.55676,                0.32986,                0.87573,             0.00014065,             0.00014065,             0.00014065
                     77,                0.48183,                0.48604,                0.90177,                0.93524,                0.87328,                0.93008,                0.81109,                0.55684,                0.33134,                0.87469,             0.00013544,             0.00013544,             0.00013544
                     78,                0.48302,                 0.4987,                0.90346,                0.94317,                0.86951,                0.93321,                0.81249,                0.55377,                0.33203,                0.87242,             0.00013024,             0.00013024,             0.00013024
                     79,                0.48373,                0.47744,                0.90297,                0.94405,                0.86449,                0.93302,                0.80822,                 0.5517,                0.33394,                 0.8745,             0.00012503,             0.00012503,             0.00012503
                     80,                0.48482,                0.47866,                0.90136,                 0.9344,                0.87124,                0.92638,                0.80833,                0.55605,                0.33999,                0.87931,             0.00011982,             0.00011982,             0.00011982
                     81,                0.47973,                0.46281,                0.90659,                0.94443,                0.87513,                0.93209,                0.81077,                 0.5541,                0.33317,                0.87585,             0.00011462,             0.00011462,             0.00011462
                     82,                0.48509,                0.46388,                0.90244,                 0.9501,                0.88731,                0.93703,                0.81616,                0.55074,                0.31765,                0.87759,             0.00010941,             0.00010941,             0.00010941
                     83,                 0.4782,                0.46991,                0.90608,                0.94245,                0.86925,                0.92975,                0.81225,                0.55589,                0.33425,                0.87486,              0.0001042,              0.0001042,              0.0001042
                     84,                0.48147,                0.46836,                0.90242,                0.94129,                0.86227,                0.92913,                0.81076,                0.55461,                0.32955,                 0.8759,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     85,                0.47598,                0.46836,                0.90137,                0.93454,                0.87105,                0.93098,                0.81148,                0.55113,                0.32701,                0.87237,             9.3786e-05,             9.3786e-05,             9.3786e-05
                     86,                0.46773,                0.44689,                0.90105,                0.94775,                0.87767,                0.93423,                0.81381,                0.54916,                0.31374,                0.87482,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     87,                0.46603,                0.44848,                0.89836,                 0.9494,                0.87889,                0.93714,                0.81892,                0.55169,                0.31018,                0.87858,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     88,                0.47365,                0.45835,                0.90096,                0.94094,                0.87368,                0.93411,                0.81444,                0.55575,                0.31755,                0.87739,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     89,                0.47566,                0.45197,                 0.9013,                0.95306,                0.86366,                 0.9322,                0.81385,                0.55521,                 0.3237,                0.88122,             7.2956e-05,             7.2956e-05,             7.2956e-05
                     90,                0.46866,                0.44184,                0.89846,                0.93766,                0.88753,                0.93345,                0.81289,                0.55495,                 0.3223,                0.88231,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     91,                0.46253,                0.29798,                0.84949,                0.92421,                0.88153,                0.93094,                0.81482,                0.55256,                0.32611,                0.87831,             6.2541e-05,             6.2541e-05,             6.2541e-05
                     92,                 0.4578,                 0.2875,                0.84506,                0.93716,                0.88665,                0.93292,                0.81411,                0.55518,                0.32329,                0.88027,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     93,                0.45371,                0.27791,                0.84979,                0.93867,                0.88166,                0.93402,                0.81453,                0.55433,                0.31944,                0.88272,             5.2127e-05,             5.2127e-05,             5.2127e-05
                     94,                0.45154,                0.27889,                0.84982,                0.93592,                0.88679,                0.93129,                0.81302,                0.55183,                0.32052,                0.87857,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     95,                0.44652,                 0.2741,                0.84492,                0.94212,                 0.8763,                0.93035,                0.81407,                0.55083,                0.31839,                0.87996,             4.1712e-05,             4.1712e-05,             4.1712e-05
                     96,                 0.4472,                0.27516,                0.84693,                0.94639,                0.88009,                0.93236,                0.81592,                0.55118,                 0.3145,                   0.88,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     97,                 0.4453,                0.26936,                0.84565,                0.94851,                 0.8755,                0.93231,                0.81452,                 0.5504,                0.31352,                0.88035,             3.1297e-05,             3.1297e-05,             3.1297e-05
                     98,                0.44171,                0.26648,                0.84329,                0.95202,                0.87354,                0.93166,                0.81684,                0.55039,                0.31367,                0.87955,              2.609e-05,              2.609e-05,              2.609e-05
                     99,                 0.4349,                0.26309,                0.84453,                0.95003,                0.87688,                0.93436,                 0.8186,                0.55077,                0.31657,                0.87978,             2.0882e-05,             2.0882e-05,             2.0882e-05
                    100,                0.43568,                0.26143,                0.83885,                0.94491,                0.88117,                0.93372,                0.81976,                0.54882,                0.31385,                0.87921,             1.5675e-05,             1.5675e-05,             1.5675e-05
